2020-01-02,0 days 09:25:00,00001.SZ,3.27,57.17,59.16,66.81,46.24,15.8
2020-01-02,0 days 09:31:00,00001.SZ,16.78,19.69,20.17,56.07,60.58,98.58
2020-01-02,0 days 09:32:00,00001.SZ,95.19,35.24,97.63,52.7,81.38,51.93
2020-01-02,0 days 09:33:00,00001.SZ,32.57,41.82,36.48,67.61,63.24,46.88
2020-01-02,0 days 09:34:00,00001.SZ,9.97,20.18,20.15,43.32,23.18,15.89
2020-01-02,0 days 09:35:00,00001.SZ,12.31,7.23,47.52,69.2,28.1,21.17
2020-01-02,0 days 09:36:00,00001.SZ,47.2,83.85,47.65,55.46,5.15,55.05
2020-01-02,0 days 09:37:00,00001.SZ,15.92,67.9,84.71,25.45,80.11,68.12
2020-01-02,0 days 09:38:00,00001.SZ,24.08,66.56,57.08,52.46,18.7,47.9
2020-01-02,0 days 09:39:00,00001.SZ,74.1,32.89,42.17,37.26,66.53,42.16
2020-01-02,0 days 09:40:00,00001.SZ,37.14,15.53,98.94,58.31,5.69,68.45
2020-01-02,0 days 09:41:00,00001.SZ,43.31,84.35,97.59,20.06,21.78,44.4
2020-01-02,0 days 09:42:00,00001.SZ,46.45,36.5,56.11,54.49,45.79,39.15
2020-01-02,0 days 09:43:00,00001.SZ,15.35,6.91,51.82,84.48,47.05,34.69
2020-01-02,0 days 09:44:00,00001.SZ,14.81,80.28,94.9,1.54,46.07,91.32
2020-01-02,0 days 09:45:00,00001.SZ,49.54,62.6,28.49,69.07,64.72,64.71
2020-01-02,0 days 09:46:00,00001.SZ,23.13,25.97,2.0,17.65,19.55,5.77
2020-01-02,0 days 09:47:00,00001.SZ,76.16,33.51,19.29,10.33,7.56,51.75
2020-01-02,0 days 09:48:00,00001.SZ,59.5,82.84,72.97,58.97,57.01,17.56
2020-01-02,0 days 09:49:00,00001.SZ,91.69,19.37,72.52,77.36,36.89,70.59
2020-01-02,0 days 09:50:00,00001.SZ,1.02,74.12,19.52,27.95,46.99,20.83
2020-01-02,0 days 09:51:00,00001.SZ,86.13,56.57,70.04,46.63,78.89,22.75
2020-01-02,0 days 09:52:00,00001.SZ,40.87,5.73,87.14,27.27,9.03,49.61
2020-01-02,0 days 09:53:00,00001.SZ,89.29,12.9,64.03,22.61,56.89,30.09
2020-01-02,0 days 09:54:00,00001.SZ,24.5,65.39,43.1,47.55,49.19,55.82
2020-01-02,0 days 09:55:00,00001.SZ,81.98,74.63,69.2,60.64,53.81,82.69
2020-01-02,0 days 09:56:00,00001.SZ,62.12,65.84,6.57,15.37,17.8,82.38
2020-01-02,0 days 09:57:00,00001.SZ,88.42,10.54,72.78,12.68,29.17,85.76
2020-01-02,0 days 09:58:00,00001.SZ,68.17,66.09,51.0,38.48,18.23,12.81
2020-01-02,0 days 09:59:00,00001.SZ,68.27,24.3,55.39,70.0,73.17,14.55
2020-01-02,0 days 10:00:00,00001.SZ,77.82,34.97,12.05,40.92,92.41,93.04
2020-01-02,0 days 10:01:00,00001.SZ,41.08,44.15,13.71,45.48,3.07,11.55
2020-01-02,0 days 10:02:00,00001.SZ,99.77,76.55,5.82,54.88,38.48,39.79
2020-01-02,0 days 10:03:00,00001.SZ,97.06,20.47,68.45,80.98,54.2,82.51
2020-01-02,0 days 10:04:00,00001.SZ,63.16,65.22,58.51,88.4,84.19,28.32
